所属行业,成交额
总计,28042 
半导体,2113 
输变电设备,1496 
通信设备,1398 
计算机软件,1292 
汽车,1219 
电子设备制造,1144 
电源设备,1134 
通用设备,1017 
电子元件,888 
专用设备,855 
基本金属,740 
航空航天装备,699 
互联网服务,678 
化学制品,656 
金属非金属新材料,623 
稀有金属,615 
化学原料,532 
非银行金融,455 
电力,406 
电子器件,394 
营销服务,371 
计算机硬件,349 
贵金属,333 
光电子器件,332 
银行,311 
消费电子设备,309 
零售,298 
合成纤维及树脂,288 
化学制药,269 
房地产开发,264 
建筑施工,253 
金属制品,241 
生物医药,233 
专业服务,223 
化肥农药,213 
医疗器械,206 
地面装备,195 
饮料,186 
医疗服务,179 
电机,175 
白色家电,167 
食品,165 
通信运营,163 
环保,156 
基础建设,156 
造纸印刷,154 
石油天然气,151 
化学新材料,151 
互联网金融,149 
其他电气设备,148 
钢铁,133 
医药商业,127 
休闲服务,124 
畜牧业,122 
物流,118 
煤炭,113 
中药生产,107 
贸易,99 
机器人,88 
港口航运,87 
纺织,79 
平面媒体,77 
燃气,76 
船舶与海洋装备,74 
农业,73 
其他建材,71 
航空机场,71 
服装家纺,71 
水泥,70 
广播电视,70 
影视动漫,69 
互联网技术,69 
林业,62 
互联网商务,59 
橡胶制品,56 
公路铁路,56 
装修装饰,55 
卫星应用,54 
家具,51 
房地产服务,49 
教育,38 
水务,34 
综合,33 
铁矿石,32 
轨道交通设备,30 
小家电,28 
其他交运设备,28 
文娱用品,26 
保健护理,26 
铁路设备,26 
珠宝首饰,23 
视听器材,19 
其他轻工,19 
钢结构,19 
其他家电,15 
商业物业经营,13 
玻璃,12 
渔业,11 
耐火材料,11 
陶瓷,10 
照明设备,7 
摩托车,6 
体育,4 
(空白),0 
,
,1月20日
